,Averaging Time (sec),Bridge 1 Excitation (,Bridge 1 Resistance (ohms),Center Position (mm),"Coil Signal"" (mV)",Coil Signal' (mV),Comment,Frequency (Hz),M. Quad. Signal (emu),"M. Raw"" (emu)",M. Raw' (emu),M. Std. Err. (emu),Magnetic Field (Oe),Mass (grams),Max. Field (Oe),Max. Temperature (K),Measure Status (code),Min. Field (Oe),Min. Temperature (K),Moment (emu),Motor Lag (deg),Motor Status (code),PPMS Status (code),Peak Amplitude (mm),Pressure (Torr),Range (mV),Sample Position (deg),System Field (Oe),System Temp. (K),Temperature (K),Time Stamp (sec),Transport Action,VSM Status (code)
795,0.999253354069792,,,8.49999912083149,0.000106332896996875,0.000754536483011219,,40.0298881530762,-2.42625138705841E-6,-2.05847210420737E-6,6.90965250111285E-5,2.2815838543973E-7,1529.763,55.6707096536982,1540.435,25.0072689,0,1519.091,25.0071354,6.94418343101835E-5,20.2216701147052,0,5985,1.9881760350195,9.2E-6,0.25,,1529.763,24.7598,25.00720215,15141817.64,1,0
796,0.999253354069792,,,8.49999912083149,0.000105824075835324,0.000775727383395339,,40.0298881530762,-2.80866466494011E-6,-2.42898058312828E-6,7.09887650013108E-5,2.26797819675222E-7,1585.381,55.7840457889867,1589.415,25.0066166,0,1581.347,25.0065956,7.13416845706582E-5,20.2264308814924,0,5985,1.9880233360258,9.25E-6,0.25,,1585.381,24.7601,25.0066061,15141820.47,1,0
797,0.999253354069792,,,8.50999919697642,0.000110446072477819,0.000782438651998642,,40.0298881530762,-2.50028121587645E-6,-2.1185380035409E-6,7.16590138945557E-5,2.23877323713169E-7,1634.4,55.3705643023136,1638.396,25.0064888,0,1630.404,25.0064659,7.20167942710759E-5,20.2238318868265,0,5985,1.98804448582065,9.2E-6,0.25,,1634.4,24.7598,25.00647735,15141822.93,1,0
798,0.999253354069792,,,8.50999919697642,0.000110790940173657,0.000795511178805245,,40.0298881530762,-2.67701138347453E-6,-2.28813899936543E-6,7.28345053197962E-5,2.36949164091884E-7,1677.2435,55.2017325421597,1679.269,25.0067596,0,1675.218,25.0067596,7.3197278495175E-5,20.2206773222938,0,5985,1.98800899315757,9.2E-6,0.25,,1677.2435,24.7603,25.0067596,15141825.065,1,0
799,0.999253354069792,,,8.49999912083149,0.000108384153059558,0.000800416604242421,,40.0298881530762,-2.97099131198637E-6,-2.57851001518834E-6,7.32348700756503E-5,2.33732320790554E-7,1687.842,55.4198068990251,1696.415,25.0070305,0,1679.269,25.0067596,7.35981549896277E-5,20.2262118134782,0,5985,1.98804810381729,9.2E-6,0.25,,1687.842,24.7603,25.00689505,15141825.61,1,0
800,0.999253354069792,,,8.49999912083149,0.000115151973202796,0.000807691254170978,,40.0298881530762,-2.47885807827593E-6,-2.08492036581056E-6,7.39916299549908E-5,2.30243049551884E-7,1706.348,55.7090094511405,1716.281,25.0071735,0,1696.415,25.0070305,7.43612845714677E-5,20.2258057333038,0,5985,1.98797824745405,9.25E-6,0.25,,1706.348,24.76045,25.007102,15141826.555,1,0
801,0.999253354069792,,,8.49999912083149,0.000115985314662225,0.00081412140172925,,40.0298881530762,-2.50608865164901E-6,-2.10891728640198E-6,7.45773111232082E-5,2.21303137841533E-7,1724.776,55.8536107271982,1733.271,25.0072346,0,1716.281,25.0071735,7.49497741047347E-5,20.2246431810469,0,5985,1.98803618144012,9.25E-6,0.25,,1724.776,24.76065,25.00720405,15141827.55,1,0
802,0.999253354069792,,,8.49999912083149,0.000116408581052856,0.000815946143941492,,40.0298881530762,-2.49720060407499E-6,-2.09910429303973E-6,7.47492002839892E-5,2.62065392918505E-7,1745.119,55.547993976179,1756.967,25.0072536,0,1733.271,25.0072346,7.51225106303499E-5,20.2258485791081,0,5985,1.98797472980117,9.2E-6,0.25,,1745.119,24.7608,25.0072441,15141828.565,1,0
803,0.999253354069792,,,8.49999912083149,0.00011752890811118,0.000822356591640357,,40.0298881530762,-2.49838685674758E-6,-2.0971607960719E-6,7.53383763487898E-5,2.19316757786543E-7,1765.471,55.3088156492943,1773.975,25.0073891,0,1756.967,25.0072536,7.57146357874706E-5,20.2225716785513,0,5985,1.98800868624915,9.25E-6,0.25,,1765.471,24.7612,25.00732135,15141829.565,1,0
804,0.999253354069792,,,8.50999919697642,0.000118441370591816,0.00082464973640165,,40.0298881530762,-2.45303024574356E-6,-2.05081209896451E-6,7.55607831837437E-5,2.41752182919464E-7,1783.8525,55.5612816610059,1793.73,25.0076485,0,1773.975,25.0073891,7.59383462537644E-5,20.22884260846,0,5985,1.98791708854466,9.25E-6,0.25,,1783.8525,24.76125,25.0075188,15141830.54,1,0
805,0.999253354069792,,,8.49999912083149,0.000108990197188563,0.000831497243123554,,40.0298881530762,-3.41028089344382E-6,-3.00070923899756E-6,7.60216585138622E-5,2.43501652182025E-7,1804.194,55.7121359652174,1814.658,25.0085926,0,1793.73,25.0076485,7.6396577000078E-5,20.225688436073,0,5985,1.98809515204671,9.2E-6,0.25,,1804.194,24.76105,25.00812055,15141831.53,1,0
806,0.999253354069792,,,8.50999919697642,0.000116860319005071,0.000842871841798576,,40.0298881530762,-2.88454559120112E-6,-2.47165466169245E-6,7.7169084182897E-5,1.86574132813428E-7,1824.5155,55.1735939154674,1834.373,25.0087776,0,1814.658,25.0085926,7.75525489886085E-5,20.2209337879128,0,5985,1.98783670284147,9.2E-6,0.25,,1824.5155,24.7611,25.0086851,15141832.57,1,0
807,0.999253354069792,,,8.50999919697642,0.000120476679139393,0.000846845644552707,,40.0298881530762,-2.62264407840014E-6,-2.208934899666E-6,7.75716483113759E-5,1.90016412671389E-7,1842.823,55.7051013085443,1851.273,25.0089111,0,1834.373,25.0087776,7.79584609560249E-5,20.2261559859071,0,5985,1.98805577495982,9.2E-6,0.25,,1842.823,24.76115,25.00884435,15141833.57,1,0
